Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-07-27,Baltimore Orioles @ Detroit Tigers,Comerica Park,0.982,1.008,88.2,45.0,12.8,WSW,245.0,15.0,Clear,3.7,5.4,58.2,B,92.0,Baltimore Orioles,Gunnar Henderson,Keider Montero,0.333,2,6,4.6,0.85,0.82,0.58,0.32,1.74,1.0,0.0,4.0,3.19,25.1,40,105,45.0,1.4,0|3|0|3|1,07/26|07/25|07/24|07/22|07/22,2.0,0|3|0|3|1|4|3|1|0|5,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/12,1.87,0|3|0|3|1|4|3|1|0|5|3|2|1|1|1,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,74.9,46.9,26.3,13.6,6.7,3.2,1.6,2.27,47.5
2026-07-27,Baltimore Orioles @ Detroit Tigers,Comerica Park,0.982,1.008,88.2,45.0,12.8,WSW,245.0,15.0,Clear,3.7,5.4,58.2,B,92.0,Baltimore Orioles,Taylor Ward,Keider Montero,0.5,1,2,4.7,0.85,0.9,0.52,0.2,1.62,1.0,0.0,4.0,4.45,23.9,40,105,45.0,1.6,2|1|3|1|1,07/26|07/25|07/24|07/22|07/22,1.6,2|1|3|1|1|2|1|1|4|0,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/12,1.73,2|1|3|1|1|2|1|1|4|0|4|1|1|4|0,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,76.1,45.0,23.2,10.6,4.3,1.8,0.8,2.05,45.2
2026-07-27,Boston Red Sox @ Athletics,Sutter Health Park,1.01,1.008,92.8,22.0,8.9,SW,236.0,0.0,Clear,3.8,5.5,58.3,B,75.0,Boston Red Sox,Willson Contreras,Jack Perkins,0.0,0,0,4.0,1.2,1.03,0.72,0.84,2.44,2.0,0.0,5.0,3.29,19.4,40,96,60.0,1.4,1|0|1|2|3,07/26|07/25|07/24|07/22|07/22,2.1,1|0|1|2|3|6|5|0|3|0,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/08,2.8,1|0|1|2|3|6|5|0|3|0|5|5|5|3|3,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/08|07/07|07/05|07/04|07/03|07/01,80.6,60.1,40.9,26.5,16.0,9.3,5.0,2.87,61.2
2026-07-27,Boston Red Sox @ Athletics,Sutter Health Park,1.01,1.008,92.8,22.0,8.9,SW,236.0,0.0,Clear,3.8,5.5,58.3,B,75.0,Boston Red Sox,Ceddanne Rafaela,Jack Perkins,0.0,0,0,4.2,1.2,1.16,0.65,0.59,2.29,2.0,0.0,5.0,3.93,19.8,40,98,67.5,2.4,2|0|5|0|5,07/26|07/25|07/24|07/22|07/22,2.6,2|0|5|0|5|3|3|3|2|3,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/17,2.27,2|0|5|0|5|3|3|3|2|3|2|1|2|0|3,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/17|07/12|07/11|07/10|07/09|07/08,80.2,58.5,38.7,23.7,13.2,7.1,3.7,2.57,60.3
2026-07-27,Boston Red Sox @ Athletics,Sutter Health Park,1.01,1.008,92.8,22.0,8.9,SW,236.0,0.0,Clear,3.8,5.5,58.3,B,75.0,Boston Red Sox,Caleb Durbin,Jack Perkins,0.0,0,0,3.9,1.2,0.99,0.68,0.53,2.11,2.0,0.0,5.0,2.2,25.3,40,95,52.5,1.8,3|0|0|0|6,07/26|07/25|07/24|07/22|07/22,2.3,3|0|0|0|6|3|3|0|2|6,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/17,2.33,3|0|0|0|6|3|3|0|2|6|0|4|1|4|3,07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18|07/17|07/17|07/12|07/11|07/10|07/09|07/08,74.7,51.3,33.3,21.0,13.0,7.7,4.3,2.38,52.1
2026-07-27,Chicago Cubs @ St. Louis Cardinals,Busch Stadium,0.995,1.014,104.0,29.0,8.8,SW,232.0,2.0,Clear,6.3,9.1,63.8,B,92.0,Chicago Cubs,Seiya Suzuki,Unknown,0.0,0,0,4.7,1.0,1.05,0.72,0.92,2.61,2.0,0.0,5.0,4.65,13.8,40,89,70.0,2.8,4|3|1|3|3,07/26|07/25|07/24|07/22|07/21,2.8,4|3|1|3|3|4|3|3|2|2,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.93,4|3|1|3|3|4|3|3|2|2|3|2|6|5|0,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,86.2,65.7,45.2,28.8,16.6,9.0,4.9,3.36,69.5
2026-07-27,Chicago Cubs @ St. Louis Cardinals,Busch Stadium,0.995,1.014,104.0,29.0,8.8,SW,232.0,2.0,Clear,6.3,9.1,63.8,B,92.0,Chicago Cubs,Pete Crow-Armstrong,Unknown,0.0,0,0,4.6,1.0,1.16,0.78,0.68,2.6,2.0,0.0,6.0,2.59,17.1,40,105,65.0,4.2,2|10|4|0|5,07/26|07/25|07/24|07/22|07/21,2.8,2|10|4|0|5|0|2|0|1|4,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.67,2|10|4|0|5|0|2|0|1|4|0|0|2|7|3,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,83.0,61.3,42.1,27.7,18.0,11.4,6.9,3.19,65.1
2026-07-27,Chicago Cubs @ St. Louis Cardinals,Busch Stadium,0.995,1.014,104.0,29.0,8.8,SW,232.0,2.0,Clear,6.3,9.1,63.8,B,92.0,Chicago Cubs,Michael Busch,Unknown,0.0,0,0,4.7,1.0,1.11,0.55,0.53,2.12,2.0,0.0,5.0,4.23,20.4,40,104,47.5,2.4,3|5|0|1|3,07/26|07/25|07/24|07/22|07/21,3.1,3|5|0|1|3|3|6|4|2|4,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.6,3|5|0|1|3|3|6|4|2|4|4|0|1|2|1,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,79.6,56.0,35.2,20.0,10.8,5.4,2.7,2.61,54.5
2026-07-27,New York Yankees @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Sam Antonacci,Max Fried,0.0,0,0,4.2,0.85,0.92,0.63,0.29,1.86,1.0,0.0,4.0,2.71,24.6,40,83,55.0,1.4,4|0|3|0|0,07/26|07/25|07/24|07/22|07/21,2.1,4|0|3|0|0|5|0|0|6|3,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,1.93,4|0|3|0|0|5|0|0|6|3|3|0|1|3|1,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/10|07/09|07/08|07/07|07/05,75.4,49.5,29.0,15.9,8.4,4.1,2.2,2.39,52.0
2026-07-27,New York Yankees @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Munetaka Murakami,Max Fried,0.0,0,0,4.4,0.85,0.8,0.74,0.61,2.16,1.0,0.0,6.0,0.96,29.3,40,69,45.0,3.4,12|1|2|1|1,07/26|07/25|07/24|07/22|07/21,2.4,12|1|2|1|1|3|0|1|2|1,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.4,12|1|2|1|1|3|0|1|2|1|0|3|0|3|6,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|05/29|05/28|05/27,70.7,46.6,31.3,21.2,14.5,10.2,7.0,2.94,51.8
2026-07-27,New York Yankees @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Braden Montgomery,Max Fried,0.0,0,0,4.1,0.85,0.86,0.49,0.46,1.81,1.0,0.0,4.0,1.81,25.6,38,38,44.7,2.0,0|1|5|4|0,07/26|07/25|07/24|07/22|07/21,3.0,0|1|5|4|0|2|3|1|7|7,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.27,0|1|5|4|0|2|3|1|7|7|0|2|1|0|1,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/05,74.4,45.5,26.8,15.6,8.6,4.9,2.7,2.39,47.6
2026-07-27,Cleveland Guardians @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.5,40.0,9.3,WSW,246.0,3.0,Clear,4.2,6.1,59.2,B,92.0,Cincinnati Reds,Sal Stewart,Slade Cecconi,0.0,0,0,4.2,1.15,1.15,0.72,1.14,2.85,2.0,0.0,6.0,2.81,17.1,40,104,52.5,2.8,3|1|4|5|1,07/26|07/25|07/24|07/22|07/21,2.4,3|1|4|5|1|0|5|0|3|2,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.4,3|1|4|5|1|0|5|0|3|2|1|3|0|7|1,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,82.9,65.4,46.8,32.3,21.4,14.0,8.6,3.37,65.0
2026-07-27,Cleveland Guardians @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.5,40.0,9.3,WSW,246.0,3.0,Clear,4.2,6.1,59.2,B,92.0,Cincinnati Reds,Elly De La Cruz,Slade Cecconi,0.182,2,11,4.5,1.15,1.18,0.79,0.48,2.23,2.0,0.0,5.0,2.45,25.6,40,85,52.5,2.2,5|1|2|0|3,07/26|07/25|07/24|07/22|07/21,2.4,5|1|2|0|3|0|3|1|7|2,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.53,5|1|2|0|3|0|3|1|7|2|2|5|0|7|0,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,74.4,53.9,36.2,23.3,14.2,8.9,5.3,2.64,55.0
2026-07-27,Cleveland Guardians @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.5,40.0,9.3,WSW,246.0,3.0,Clear,4.2,6.1,59.2,B,92.0,Cincinnati Reds,Tyler Stephenson,Slade Cecconi,0.5,1,2,3.4,1.15,0.99,0.49,0.36,1.79,1.0,0.0,4.0,1.72,30.8,40,78,42.5,1.2,1|0|3|2|0,07/26|07/25|07/24|07/22|07/20,1.8,1|0|3|2|0|8|1|0|1|2,07/26|07/25|07/24|07/22|07/20|07/19|07/17|07/12|07/11|07/10,1.67,1|0|3|2|0|8|1|0|1|2|1|1|2|0|3,07/26|07/25|07/24|07/22|07/20|07/19|07/17|07/12|07/11|07/10|07/09|07/07|07/05|07/03|07/01,69.2,44.2,27.4,16.3,9.6,5.4,3.2,1.95,43.5
2026-07-27,Cleveland Guardians @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.5,40.0,9.3,WSW,246.0,3.0,Clear,4.2,6.1,59.2,B,92.0,Cleveland Guardians,Chase DeLauter,Chase Burns,0.0,0,0,4.3,0.85,1.11,0.36,0.48,1.95,2.0,0.0,4.0,2.73,24.1,40,89,52.5,1.0,0|2|0|1|2,07/26|07/24|07/23|07/22|07/21,2.0,0|2|0|1|2|7|1|3|1|3,07/26|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/18|07/12,2.27,0|2|0|1|2|7|1|3|1|3|0|5|3|4|2,07/26|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/18|07/12|07/11|07/10|07/09|07/08|07/07,75.8,50.5,31.1,17.8,9.3,5.0,2.5,2.45,52.2
2026-07-27,Cleveland Guardians @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.5,40.0,9.3,WSW,246.0,3.0,Clear,4.2,6.1,59.2,B,92.0,Cleveland Guardians,Steven Kwan,Chase Burns,0.0,0,0,4.1,0.85,1.11,0.42,0.18,1.71,2.0,0.0,4.0,29.37,19.5,40,97,40.0,2.0,1|1|2|3|3,07/26|07/25|07/23|07/22|07/21,2.4,1|1|2|3|3|1|3|5|3|2,07/26|07/25|07/23|07/22|07/21|07/20|07/19|07/18|07/18|07/12,2.07,1|1|2|3|3|1|3|5|3|2|3|1|1|2|0,07/26|07/25|07/23|07/22|07/21|07/20|07/19|07/18|07/18|07/12|07/11|07/10|07/09|07/08|07/07,80.5,50.3,24.8,10.3,3.4,1.0,0.3,2.05,46.3
2026-07-27,Cleveland Guardians @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.5,40.0,9.3,WSW,246.0,3.0,Clear,4.2,6.1,59.2,B,92.0,Cleveland Guardians,Brayan Rocchio,Chase Burns,0.0,0,0,4.1,0.85,0.94,0.35,0.47,1.7,1.0,0.0,4.0,4.39,25.7,40,104,57.5,1.4,0|0|3|0|4,07/26|07/25|07/24|07/23|07/22,1.7,0|0|3|0|4|3|4|1|2|0,07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/18,2.33,0|0|3|0|4|3|4|1|2|0|6|2|2|3|5,07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/18|07/12|07/11|07/10|07/09|07/08,74.3,46.9,25.5,12.6,6.1,2.5,1.1,2.24,50.4
2026-07-27,Baltimore Orioles @ Detroit Tigers,Comerica Park,0.982,1.008,88.2,45.0,12.8,WSW,245.0,15.0,Clear,3.7,5.4,58.2,B,92.0,Detroit Tigers,Kevin McGonigle,Kyle Bradish,0.0,0,0,4.4,0.93,0.97,0.47,0.25,1.76,1.0,0.0,4.0,5.9,17.8,40,102,47.5,1.2,3|0|1|1|1,07/26|07/25|07/23|07/22|07/21,1.4,3|0|1|1|1|1|3|4|0|0,07/26|07/25|07/23|07/22|07/21|07/20|07/19|07/18|07/17|07/12,1.73,3|0|1|1|1|1|3|4|0|0|1|4|1|2|4,07/26|07/25|07/23|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08|07/07,82.2,47.9,25.5,12.0,5.0,2.1,0.8,2.05,47.1
2026-07-27,Baltimore Orioles @ Detroit Tigers,Comerica Park,0.982,1.008,88.2,45.0,12.8,WSW,245.0,15.0,Clear,3.7,5.4,58.2,B,92.0,Detroit Tigers,Dillon Dingler,Kyle Bradish,0.0,0,0,4.0,0.93,1.05,0.53,0.57,2.11,1.0,0.0,5.0,1.16,31.3,40,97,55.0,1.8,4|0|0|4|1,07/26|07/25|07/24|07/23|07/22,2.7,4|0|0|4|1|5|10|0|2|1,07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/17,2.2,4|0|0|4|1|5|10|0|2|1|0|1|2|0|3,07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/08|07/07|07/05,68.7,47.7,32.0,21.4,14.0,9.4,6.3,2.73,53.4
2026-07-27,Baltimore Orioles @ Detroit Tigers,Comerica Park,0.982,1.008,88.2,45.0,12.8,WSW,245.0,15.0,Clear,3.7,5.4,58.2,B,92.0,Detroit Tigers,Riley Greene,Kyle Bradish,0.333,1,3,4.1,0.93,0.86,0.53,0.52,1.93,1.0,0.0,5.0,1.57,27.6,40,105,47.5,1.8,2|3|1|1|2,07/26|07/25|07/24|07/23|07/22,2.2,2|3|1|1|2|0|7|3|1|2,07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/17,1.93,2|3|1|1|2|0|7|3|1|2|1|0|3|0|3,07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09|07/08,72.4,47.3,29.6,18.0,10.7,6.6,3.8,2.45,49.5
2026-07-27,Houston Astros @ Los Angeles Angels,Angel Stadium,1.0,1.006,85.3,52.0,9.3,SW,226.0,1.0,Clear,2.9,4.2,56.4,C,75.0,Houston Astros,Jeremy Peña,Walbert Ureña,0.0,0,3,4.3,0.85,1.37,0.9,0.6,2.85,2.0,0.0,6.0,2.87,14.5,40,58,60.0,5.0,6|5|4|6|4,07/26|07/25|07/24|07/22|07/21,3.9,6|5|4|6|4|6|1|4|1|2,07/26|07/25|07/24|07/22|07/21|07/20|07/18|07/17|07/12|07/11,3.53,6|5|4|6|4|6|1|4|1|2|1|2|7|1|3,07/26|07/25|07/24|07/22|07/21|07/20|07/18|07/17|07/12|07/11|07/10|06/28|06/27|06/26|06/25,85.5,66.4,47.6,31.8,20.7,13.1,8.0,3.77,70.0
2026-07-27,Houston Astros @ Los Angeles Angels,Angel Stadium,1.0,1.006,85.3,52.0,9.3,SW,226.0,1.0,Clear,2.9,4.2,56.4,C,75.0,Houston Astros,Isaac Paredes,Walbert Ureña,0.0,0,1,4.3,0.85,1.02,0.4,0.62,2.04,2.0,0.0,4.0,4.15,18.4,40,100,55.0,3.2,0|5|1|4|6,07/26|07/25|07/24|07/22|07/21,2.6,0|5|1|4|6|2|2|1|2|3,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12,2.27,0|5|1|4|6|2|2|1|2|3|4|0|2|1|1,07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/08|07/07|07/06,81.6,54.2,32.6,17.9,9.3,4.5,2.0,2.71,56.2
