player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards,projected_carries,projected_ypc,matchup_score,data_quality_score
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,80,80,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,85,85,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,90,90,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,95,95,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,100,100,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,105,105,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,110,110,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,115,115,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,120,120,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,125,125,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,130,130,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,135,135,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,140,140,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,145,145,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,150,150,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,155,155,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,160,160,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,165,165,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,170,170,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,175,175,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,180,180,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,185,185,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,190,190,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,195,195,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,200,200,0.0,0.0,VERY LOW,2.1,0.5,3.99,98.0,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,0,0,100.0,100.0,ELITE,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,5,5,46.7,46.7,COIN FLIP,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,10,10,22.3,22.3,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,15,15,9.4,9.4,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,20,20,3.8,3.8,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,25,25,1.5,1.5,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,30,30,0.5,0.5,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,35,35,0.2,0.2,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,40,40,0.1,0.1,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,45,45,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,50,50,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,55,55,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,60,60,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,65,65,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,70,70,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,75,75,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,80,80,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,85,85,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,90,90,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,95,95,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,100,100,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,105,105,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,110,110,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,115,115,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,120,120,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,125,125,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,130,130,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,135,135,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,140,140,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,145,145,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,150,150,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,155,155,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,160,160,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,165,165,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,170,170,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,175,175,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,180,180,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,185,185,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,190,190,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,195,195,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a j henning__MIA,00-0040302,A.J. Henning,MIA,NYG,WR,2026,PRE,2,200,200,0.0,0.0,VERY LOW,5.8,0.9,6.47,107.4,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,0,0,100.0,100.0,ELITE,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,5,5,9.8,9.8,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,10,10,1.6,1.6,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,15,15,0.3,0.3,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,20,20,0.1,0.1,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,25,25,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,30,30,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,35,35,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,40,40,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,45,45,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,50,50,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,55,55,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,60,60,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,65,65,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,70,70,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,75,75,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,80,80,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,85,85,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,90,90,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,95,95,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,100,100,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,105,105,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,110,110,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,115,115,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,120,120,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,125,125,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,130,130,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,135,135,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,140,140,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,145,145,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,150,150,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,155,155,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,160,160,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,165,165,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,170,170,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,175,175,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,180,180,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,185,185,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,190,190,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,195,195,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
a t perry__PIT,00-0038612,A.T. Perry,PIT,NYJ,WR,2026,PRE,2,200,200,0.0,0.0,VERY LOW,1.8,0.6,2.97,100.8,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,0,0,100.0,100.0,ELITE,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,5,5,43.4,43.4,COIN FLIP,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,10,10,20.0,20.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,15,15,8.7,8.7,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,20,20,3.6,3.6,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,25,25,1.5,1.5,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,30,30,0.6,0.6,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,35,35,0.2,0.2,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,40,40,0.1,0.1,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,45,45,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,50,50,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,55,55,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,60,60,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,65,65,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,70,70,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,75,75,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,80,80,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,85,85,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,90,90,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,95,95,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,100,100,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,105,105,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,110,110,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,115,115,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,120,120,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,125,125,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,130,130,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,135,135,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,140,140,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,145,145,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,150,150,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,155,155,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,160,160,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,165,165,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,170,170,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,175,175,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,180,180,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,185,185,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,190,190,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,195,195,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,BUF,WR,2026,PRE,2,200,200,0.0,0.0,VERY LOW,5.4,0.8,6.58,106.5,20.0
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,0,0,100.0,100.0,ELITE,26.0,6.8,3.83,93.5,65.0
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,5,5,81.5,81.5,VERY HIGH,26.0,6.8,3.83,93.5,65.0
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,10,10,72.8,72.8,HIGH,26.0,6.8,3.83,93.5,65.0
