Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,James McCann,Casey Mize,0.0,0,2,4.4,0.85,1.31,0.46,0.85,2.63,46.7,3.6,0|3|7|6|2,08/04|08/03|08/01|07/28|07/25,3.8,0|3|7|6|2|8|2|8|1|1,08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18,2.67,0|3|7|6|2|8|2|8|1|1|0|1|1|0|0,08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18|05/16|05/10|05/07|05/02|04/30,89.0,68.9,46.5,27.7,15.3,8.0,3.9,3.24,150.4
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Corbin Carroll,Casey Mize,0.5,2,4,4.8,0.85,0.85,0.85,0.36,2.07,46.7,1.6,0|0|0|7|1,08/04|08/03|08/02|08/01|07/31,1.7,0|0|0|7|1|2|1|2|3|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,1.93,0|0|0|7|1|2|1|2|3|1|1|3|5|2|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/19,83.9,57.7,33.8,17.6,8.4,3.7,1.5,2.34,115.6
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Geraldo Perdomo,Casey Mize,0.0,0,0,4.7,0.85,1.19,0.42,0.35,1.93,53.3,3.4,2|2|1|8|4,08/04|08/03|08/02|08/01|07/31,2.5,2|2|1|8|4|0|2|2|4|0,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,1.87,2|2|1|8|4|0|2|2|4|0|0|0|0|1|2,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20,81.0,53.1,30.5,15.5,7.1,3.2,1.4,2.15,109.8
2026-08-05,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.2,40.0,7.7,WSW,240.0,1.0,Clear,4.0,5.8,58.8,B,92.0,Athletics,Jacob Wilson,Rhett Lowder,0.0,0,0,4.2,1.2,1.44,0.73,0.92,3.08,53.3,2.4,3|3|2|3|1,08/04|08/01|07/31|07/30|07/29,1.4,3|3|2|3|1|1|0|1|0|0,08/04|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,2.27,3|3|2|3|1|1|0|1|0|0|1|4|4|3|8,08/04|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18,92.3,75.8,55.7,36.5,21.8,12.4,6.8,2.76,138.0
2026-08-05,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.2,40.0,7.7,WSW,240.0,1.0,Clear,4.0,5.8,58.8,B,92.0,Athletics,Jeff McNeil,Rhett Lowder,0.0,0,0,4.0,1.2,1.63,0.52,0.79,2.95,60.0,1.6,3|2|2|0|1,08/04|08/02|08/01|07/31|07/30,1.8,3|2|2|0|1|2|1|5|2|0,08/04|08/02|08/01|07/31|07/30|07/29|07/27|07/26|07/25|07/24,2.27,3|2|2|0|1|2|1|5|2|0|5|0|3|1|7,08/04|08/02|08/01|07/31|07/30|07/29|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18,91.4,72.9,52.1,33.7,20.1,11.4,6.3,2.69,137.0
2026-08-05,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.2,40.0,7.7,WSW,240.0,1.0,Clear,4.0,5.8,58.8,B,92.0,Athletics,Lawrence Butler,Rhett Lowder,0.0,0,0,3.7,1.2,0.95,0.65,0.49,2.08,46.7,2.2,1|1|4|0|5,08/04|08/02|08/01|07/31|07/30,1.8,1|1|4|0|5|4|2|0|1|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,1.73,1|1|4|0|5|4|2|0|1|0|1|2|2|3|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,83.6,58.1,34.5,17.5,8.0,3.5,1.5,2.09,106.9
2026-08-05,Miami Marlins @ Atlanta Braves,Truist Park,1.008,1.005,77.2,74.0,4.3,S,186.0,17.0,Overcast,2.1,3.1,54.7,C,92.0,Atlanta Braves,Austin Riley,Eury Pérez,1.0,1,1,5.0,0.85,1.12,0.3,0.83,2.24,46.7,2.4,5|2|4|1|0,08/04|08/02|08/01|07/31|07/29,1.7,5|2|4|1|0|0|0|2|0|3,08/04|08/02|08/01|07/31|07/29|07/29|07/27|07/26|07/25|07/24,2.0,5|2|4|1|0|0|0|2|0|3|1|3|0|0|9,08/04|08/02|08/01|07/31|07/29|07/29|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19,85.1,60.8,37.1,20.9,10.7,5.2,2.3,2.45,120.3
2026-08-05,Miami Marlins @ Atlanta Braves,Truist Park,1.008,1.005,77.2,74.0,4.3,S,186.0,17.0,Overcast,2.1,3.1,54.7,C,92.0,Atlanta Braves,Matt Olson,Eury Pérez,0.375,3,8,4.0,0.85,0.9,0.66,0.6,2.19,60.0,3.0,2|4|4|5|0,08/04|08/02|08/01|07/31|07/30,2.5,2|4|4|5|0|2|4|1|2|1,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25,2.4,2|4|4|5|0|2|4|1|2|1|6|0|4|1|0,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20,84.9,60.5,36.7,19.4,9.7,4.5,2.0,2.95,142.4
2026-08-05,Miami Marlins @ Atlanta Braves,Truist Park,1.008,1.005,77.2,74.0,4.3,S,186.0,17.0,Overcast,2.1,3.1,54.7,C,92.0,Atlanta Braves,Ozzie Albies,Eury Pérez,0.286,2,7,3.7,0.85,0.88,0.44,0.56,1.91,60.0,2.2,3|1|1|3|3,08/04|08/02|08/01|07/31|07/30,2.1,3|1|1|3|3|1|0|6|0|3,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25,2.27,3|1|1|3|3|1|0|6|0|3|2|4|3|0|4,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20,81.6,53.7,30.0,14.4,6.4,2.6,1.1,2.76,133.7
2026-08-05,Los Angeles Angels @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.005,79.9,85.0,3.5,WNW,288.0,19.0,Mainly clear,2.1,3.1,54.7,C,92.0,Baltimore Orioles,Coby Mayo,Reid Detmers,0.0,0,0,4.6,0.92,0.74,0.67,0.52,1.93,40.0,1.4,1|0|0|6|0,08/04|08/01|07/31|07/29|07/28,1.7,1|0|0|6|0|7|1|0|2|0,08/04|08/01|07/31|07/29|07/28|07/27|07/26|07/24|07/22|07/20,1.73,1|0|0|6|0|7|1|0|2|0|4|0|2|0|3,08/04|08/01|07/31|07/29|07/28|07/27|07/26|07/24|07/22|07/20|07/19|07/18|07/17|07/12|07/11,82.5,54.5,30.5,14.5,6.5,2.6,0.9,2.15,105.6
2026-08-05,Los Angeles Angels @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.005,79.9,85.0,3.5,WNW,288.0,19.0,Mainly clear,2.1,3.1,54.7,C,92.0,Baltimore Orioles,Pete Alonso,Reid Detmers,0.0,0,1,3.7,0.92,0.9,0.54,0.3,1.73,46.7,2.2,3|1|0|6|1,08/04|08/02|08/01|07/31|07/29,2.1,3|1|0|6|1|0|3|4|1|2,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,1.93,3|1|0|6|1|0|3|4|1|2|2|3|1|1|1,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18,78.2,48.7,25.9,12.2,5.1,2.0,0.8,2.28,110.8
2026-08-05,Los Angeles Angels @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.005,79.9,85.0,3.5,WNW,288.0,19.0,Mainly clear,2.1,3.1,54.7,C,92.0,Baltimore Orioles,Jackson Holliday,Reid Detmers,0.0,0,1,3.8,0.92,0.92,0.43,0.31,1.65,46.7,1.6,0|0|0|2|6,08/04|08/02|08/01|07/31|07/29,2.3,0|0|0|2|6|2|6|1|3|3,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,1.8,0|0|0|2|6|2|6|1|3|3|1|2|0|1|0,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20|07/19|07/18,76.6,46.4,23.9,10.9,4.4,1.7,0.7,2.11,104.1
2026-08-05,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.005,84.1,41.0,6.3,SW,225.0,0.0,Clear,2.3,3.4,55.1,C,92.0,Boston Red Sox,Ceddanne Rafaela,Sean Burke,0.0,0,3,4.6,0.85,1.53,0.98,1.27,3.74,80.0,5.4,5|5|6|7|4,08/04|08/02|08/01|07/31|07/30,3.8,5|5|6|7|4|2|1|6|2|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,3.6,5|5|6|7|4|2|1|6|2|0|5|0|5|3|3,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20|07/19,95.1,82.9,65.3,47.8,32.6,20.9,12.7,4.48,209.7
2026-08-05,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.005,84.1,41.0,6.3,SW,225.0,0.0,Clear,2.3,3.4,55.1,C,92.0,Boston Red Sox,Andruw Monasterio,Sean Burke,0.0,0,0,5.0,0.85,1.43,0.69,0.76,2.87,80.0,3.0,5|2|2|3|3,08/04|08/02|08/01|07/31|07/30,2.6,5|2|2|3|3|6|0|1|3|1,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,2.53,5|2|2|3|3|6|0|1|3|1|2|2|2|4|2,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/19|07/18|07/12,91.1,72.8,50.6,32.2,19.3,10.8,5.6,3.05,156.6
2026-08-05,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.005,84.1,41.0,6.3,SW,225.0,0.0,Clear,2.3,3.4,55.1,C,92.0,Boston Red Sox,Caleb Durbin,Sean Burke,0.0,0,2,4.7,0.85,1.13,0.86,0.65,2.65,53.3,3.2,8|3|0|4|1,08/04|08/02|08/01|07/31|07/30,2.5,8|3|0|4|1|4|1|1|3|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,2.47,8|3|0|4|1|4|1|1|3|0|0|0|6|3|3,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20|07/19,89.4,69.4,47.1,28.3,15.9,8.2,4.0,3.01,144.8
2026-08-05,Los Angeles Dodgers @ Chicago Cubs,Wrigley Field,1.018,1.006,82.3,68.0,9.9,SSW,205.0,12.0,Overcast,2.8,4.0,56.1,C,92.0,Chicago Cubs,Alex Bregman,Eric Lauer,0.0,0,2,5.0,1.01,1.69,1.35,0.54,3.62,60.0,1.4,2|2|0|2|1,08/04|08/03|08/02|08/01|07/31,2.7,2|2|0|2|1|5|1|5|9|0,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/25,2.67,2|2|0|2|1|5|1|5|9|0|0|0|3|4|6,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/25|07/24|07/22|07/21|07/20|07/19,94.4,80.7,63.3,45.5,31.1,20.2,12.2,3.17,156.2
2026-08-05,Los Angeles Dodgers @ Chicago Cubs,Wrigley Field,1.018,1.006,82.3,68.0,9.9,SSW,205.0,12.0,Overcast,2.8,4.0,56.1,C,92.0,Chicago Cubs,Seiya Suzuki,Eric Lauer,0.143,1,7,3.7,1.01,1.06,0.86,1.07,2.99,80.0,2.6,2|5|3|2|1,08/04|08/03|08/02|08/01|07/30,3.1,2|5|3|2|1|1|7|3|4|3,08/04|08/03|08/02|08/01|07/30|07/29|07/28|07/27|07/26|07/25,3.0,2|5|3|2|1|1|7|3|4|3|1|3|3|4|3,08/04|08/03|08/02|08/01|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,92.2,75.0,53.6,34.6,20.8,11.2,5.8,3.79,183.2
2026-08-05,Los Angeles Dodgers @ Chicago Cubs,Wrigley Field,1.018,1.006,82.3,68.0,9.9,SSW,205.0,12.0,Overcast,2.8,4.0,56.1,C,92.0,Chicago Cubs,Nico Hoerner,Eric Lauer,0.2,3,15,3.7,1.01,1.41,0.57,0.71,2.7,60.0,2.0,5|0|1|4|0,08/04|08/03|08/02|08/01|07/31,3.1,5|0|1|4|0|3|0|4|10|4,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,2.53,5|0|1|4|0|3|0|4|10|4|2|1|0|2|2,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20,89.5,69.3,47.2,28.9,16.7,9.3,4.7,3.03,147.8
2026-08-05,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.005,84.1,41.0,6.3,SW,225.0,0.0,Clear,2.3,3.4,55.1,C,92.0,Chicago White Sox,Chase Meidroth,Sonny Gray,0.0,0,0,4.6,0.85,0.97,0.63,0.56,2.14,60.0,1.4,2|4|0|0|1,08/04|08/02|08/01|07/31|07/30,1.9,2|4|0|0|1|2|4|2|4|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,2.07,2|4|0|0|1|2|4|2|4|0|3|6|0|2|1,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/18,84.3,59.4,35.4,18.9,9.2,4.0,1.7,2.51,126.7
2026-08-05,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.005,84.1,41.0,6.3,SW,225.0,0.0,Clear,2.3,3.4,55.1,C,92.0,Chicago White Sox,Munetaka Murakami,Sonny Gray,0.0,0,0,3.7,0.85,0.89,0.73,0.51,2.12,40.0,2.0,1|1|1|6|1,08/04|08/02|08/01|07/31|07/30,3.1,1|1|1|6|1|5|1|2|12|1,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,2.53,1|1|1|6|1|5|1|2|12|1|2|1|1|3|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,84.6,59.2,34.8,18.0,8.5,4.0,1.6,3.09,139.9
2026-08-05,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.005,84.1,41.0,6.3,SW,225.0,0.0,Clear,2.3,3.4,55.1,C,92.0,Chicago White Sox,Andrew Benintendi,Sonny Gray,0.667,4,6,5.0,0.85,0.83,0.3,0.84,2.01,53.3,2.2,3|0|4|2|2,08/02|08/01|07/31|07/30|07/29,1.5,3|0|4|2|2|1|0|2|0|1,08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,1.73,3|0|4|2|2|1|0|2|0|1|4|0|4|3|0,08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18,83.1,56.1,32.4,16.5,7.5,3.1,1.2,2.18,111.8
2026-08-05,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.2,40.0,7.7,WSW,240.0,1.0,Clear,4.0,5.8,58.8,B,92.0,Cincinnati Reds,Elly De La Cruz,Jacob Lopez,0.0,0,0,4.8,1.2,1.44,1.26,0.74,3.41,60.0,3.2,5|3|0|2|6,08/04|08/02|08/01|07/31|07/30,2.5,5|3|0|2|6|0|0|3|5|1,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/25,2.2,5|3|0|2|6|0|0|3|5|1|2|0|3|0|3,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/25|07/24|07/22|07/21|07/20|07/19,93.7,79.9,61.3,42.5,27.6,16.4,9.8,2.67,138.4
2026-08-05,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.2,40.0,7.7,WSW,240.0,1.0,Clear,4.0,5.8,58.8,B,92.0,Cincinnati Reds,Sal Stewart,Jacob Lopez,0.0,0,0,3.7,1.2,1.11,0.73,1.54,3.35,60.0,3.2,3|3|0|8|2,08/04|08/02|08/01|07/31|07/30,2.7,3|3|0|8|2|1|0|6|3|1,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/25,2.8,3|3|0|8|2|1|0|6|3|1|4|5|1|0|5,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/25|07/24|07/22|07/21|07/20|07/19,93.8,79.1,59.2,41.0,26.2,16.1,9.1,3.61,171.1
2026-08-05,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.009,91.2,40.0,7.7,WSW,240.0,1.0,Clear,4.0,5.8,58.8,B,92.0,Cincinnati Reds,Jose Trevino,Jacob Lopez,0.0,0,1,4.0,1.2,1.37,0.7,0.79,2.87,40.0,2.2,3|0|0|1|7,08/01|07/28|07/26|07/21|07/18,2.3,3|0|0|1|7|0|0|5|7|0,08/01|07/28|07/26|07/21|07/18|07/11|07/08|07/04|07/02|06/30,2.2,3|0|0|1|7|0|0|5|7|0|5|1|1|1|2,08/01|07/28|07/26|07/21|07/18|07/11|07/08|07/04|07/02|06/30|06/27|06/24|06/23|06/20|06/17,90.6,72.6,50.8,32.7,19.1,10.6,5.7,2.66,128.9
2026-08-05,New York Mets @ Cleveland Guardians,Progressive Field,0.995,1.006,83.6,51.0,7.9,N,7.0,4.0,Clear,2.8,4.1,56.2,C,92.0,Cleveland Guardians,Chase DeLauter,Christian Scott,0.0,0,0,4.6,0.85,1.09,0.61,0.61,2.34,60.0,2.8,2|6|4|0|2,08/04|08/02|08/01|07/31|07/29,2.0,2|6|4|0|2|0|4|0|2|0,08/04|08/02|08/01|07/31|07/29|07/28|07/28|07/26|07/24|07/23,2.27,2|6|4|0|2|0|4|0|2|0|1|2|7|1|3,08/04|08/02|08/01|07/31|07/29|07/28|07/28|07/26|07/24|07/23|07/22|07/21|07/20|07/19|07/18,86.4,63.4,39.9,22.1,11.9,5.5,2.4,2.75,136.3
2026-08-05,New York Mets @ Cleveland Guardians,Progressive Field,0.995,1.006,83.6,51.0,7.9,N,7.0,4.0,Clear,2.8,4.1,56.2,C,92.0,Cleveland Guardians,Nathaniel Lowe,Christian Scott,0.0,0,0,3.8,0.85,1.07,0.34,0.68,2.09,66.7,2.6,0|7|1|3|2,08/04|08/02|08/01|07/31|07/30,2.3,0|7|1|3|2|0|0|3|5|2,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/24,2.47,0|7|1|3|2|0|0|3|5|2|0|3|5|2|4,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/24|07/22|07/21|07/19|07/18|07/11,84.0,58.1,34.9,17.7,8.4,3.9,1.4,2.99,145.4
2026-08-05,New York Mets @ Cleveland Guardians,Progressive Field,0.995,1.006,83.6,51.0,7.9,N,7.0,4.0,Clear,2.8,4.1,56.2,C,92.0,Cleveland Guardians,Steven Kwan,Christian Scott,0.0,0,0,3.7,0.85,1.32,0.33,0.27,1.92,60.0,3.0,1|2|5|2|5,08/04|08/02|08/01|07/31|07/29,2.0,1|2|5|2|5|0|1|1|1|2,08/04|08/02|08/01|07/31|07/29|07/28|07/28|07/26|07/25|07/23,2.33,1|2|5|2|5|0|1|1|1|2|3|3|1|3|5,08/04|08/02|08/01|07/31|07/29|07/28|07/28|07/26|07/25|07/23|07/22|07/21|07/20|07/19|07/18,81.0,53.0,30.0,15.3,7.2,3.2,1.4,2.62,128.6
2026-08-05,Tampa Bay Rays @ Colorado Rockies,Coors Field,1.08,1.01,79.9,31.0,6.2,NE,41.0,0.0,Clear,4.6,6.7,60.1,B,92.0,Colorado Rockies,Jake McCarthy,Nick Martinez,1.0,1,1,4.2,0.85,1.17,0.86,0.74,2.77,73.3,3.6,5|4|5|4|0,08/04|08/03|08/02|08/01|07/31,2.6,5|4|5|4|0|0|3|0|3|2,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24,2.8,5|4|5|4|0|0|3|0|3|2|1|4|3|2|6,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/18,90.3,70.9,49.2,30.8,17.7,9.7,4.6,3.43,167.0
2026-08-05,Tampa Bay Rays @ Colorado Rockies,Coors Field,1.08,1.01,79.9,31.0,6.2,NE,41.0,0.0,Clear,4.6,6.7,60.1,B,92.0,Colorado Rockies,Hunter Goodman,Nick Martinez,1.0,1,1,4.4,0.85,1.09,0.49,1.05,2.64,40.0,2.6,1|1|11|0|0,08/04|08/03|08/01|07/31|07/29,2.0,1|1|11|0|0|0|1|3|2|1,08/04|08/03|08/01|07/31|07/29|07/28|07/26|07/25|07/24|07/22,2.53,1|1|11|0|0|0|1|3|2|1|5|0|11|0|2,08/04|08/03|08/01|07/31|07/29|07/28|07/26|07/25|07/24|07/22|07/21|07/20|07/19|07/17|07/12,89.6,69.1,46.5,27.8,15.3,8.0,4.0,3.17,145.7
2026-08-05,Tampa Bay Rays @ Colorado Rockies,Coors Field,1.08,1.01,79.9,31.0,6.2,NE,41.0,0.0,Clear,4.6,6.7,60.1,B,92.0,Colorado Rockies,Cole Carrigg,Nick Martinez,0.0,0,0,4.8,0.85,1.41,0.76,0.46,2.59,60.0,2.0,1|4|5|0|0,08/04|08/03|08/02|08/01|07/31,2.2,1|4|5|0|0|0|4|3|2|3,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24,2.33,1|4|5|0|0|0|4|3|2|3|0|4|2|6|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24|07/22|07/21|07/20|07/18|07/17,89.2,67.7,45.2,27.4,15.4,7.7,3.6,2.73,136.9
2026-08-05,Detroit Tigers @ Seattle Mariners,T-Mobile Park,0.97,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Detroit Tigers,Dillon Dingler,Bryan Woo,0.0,0,3,4.7,1.02,1.57,0.82,0.98,3.38,53.3,3.0,2|4|1|7|1,08/04|08/02|08/01|07/31|07/29,2.1,2|4|1|7|1|0|2|4|0|0,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,2.73,2|4|1|7|1|0|2|4|0|0|4|1|5|10|0,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19,93.5,79.2,60.3,41.8,26.8,16.2,9.0,3.33,159.0
2026-08-05,Detroit Tigers @ Seattle Mariners,T-Mobile Park,0.97,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Detroit Tigers,Gleyber Torres,Bryan Woo,0.545,6,11,4.4,1.02,1.1,0.91,0.82,2.82,40.0,2.8,1|6|6|0|1,08/04|08/02|08/01|07/31|07/29,2.4,1|6|6|0|1|8|0|0|0|2,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,2.07,1|6|6|0|1|8|0|0|0|2|1|0|3|0|3,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/21|07/20|06/15|06/13,91.2,72.3,50.3,31.0,18.0,9.7,5.1,2.57,125.6
2026-08-05,Detroit Tigers @ Seattle Mariners,T-Mobile Park,0.97,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Detroit Tigers,Kevin McGonigle,Bryan Woo,0.333,1,3,3.7,1.02,1.23,0.84,0.45,2.5,46.7,2.8,0|1|7|5|1,08/04|08/02|08/01|07/31|07/29,2.9,0|1|7|5|1|9|2|3|0|1,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/23,2.6,0|1|7|5|1|9|2|3|0|1|1|1|1|3|4,08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/23|07/22|07/21|07/20|07/19|07/18,88.0,66.0,43.6,25.3,14.0,7.2,3.5,3.09,144.3
2026-08-05,Toronto Blue Jays @ Houston Astros,Daikin Park,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Houston Astros,Jeremy Peña,Jameson Taillon,0.5,1,2,4.2,1.2,2.2,1.41,1.32,4.92,80.0,3.4,0|2|5|3|7,08/04|08/03|08/02|08/01|07/31,3.5,0|2|5|3|7|3|1|3|6|5,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,3.73,0|2|5|3|7|3|1|3|6|5|4|6|4|6|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/18,97.6,90.4,79.5,65.3,50.8,37.0,26.2,4.55,214.4
2026-08-05,Toronto Blue Jays @ Houston Astros,Daikin Park,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Houston Astros,Yordan Alvarez,Jameson Taillon,0.357,5,14,3.7,1.2,1.83,1.13,1.05,4.0,73.3,3.4,2|1|7|3|4,08/04|08/03|08/02|08/01|07/31,2.6,2|1|7|3|4|0|5|3|0|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,3.07,2|1|7|3|4|0|5|3|0|1|3|5|3|7|2,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,95.9,85.0,68.9,52.1,36.5,24.6,15.4,3.73,181.7
2026-08-05,Toronto Blue Jays @ Houston Astros,Daikin Park,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Houston Astros,Jose Altuve,Jameson Taillon,0.333,5,15,4.0,1.2,1.68,0.75,0.56,2.99,53.3,2.8,7|2|4|1|0,08/04|08/03|08/02|08/01|07/31,1.9,7|2|4|1|0|3|2|0|0|0,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,2.13,7|2|4|1|0|3|2|0|0|0|5|0|2|5|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/21|07/20|07/19|07/18,91.3,73.6,52.9,34.6,20.6,11.9,6.6,2.49,127.9
